date,code,name,ep,hp,lp,sp,bep,chm,chr,exr,mt,mm,pr,fpr
2017-05-04,601628,zgrs,26.05,26.28,25.63,25.79,25.73,0.32,1.2437,0.0586,12207184,318231929.0,7.3629556525e+11,5.424529565e+11
2017-05-03,601628,zgrs,25.73,26.15,25.56,25.85,25.94,-0.21,-0.8096,0.0338,7048146,181838713.0,7.2725085965e+11,5.357894269e+11
2017-05-02,601628,zgrs,25.94,26.32,25.9,25.96,26.13,-0.19,-0.7271,0.0336,6999707,182238103.0,7.331864477e+11,5.401623682e+11
2017-04-28,601628,zgrs,26.13,26.35,25.8,26.0,26.01,0.12,0.4614,0.0588,12236178,319851099.0,7.3855674165e+11,5.441188389e+11
2017-04-27,601628,zgrs,26.01,26.08,25.32,25.48,25.48,0.53,2.0801,0.1066,22193471,576274798.0,7.3516497705e+11,5.416200153e+11
2017-04-26,601628,zgrs,25.48,25.99,25.0,25.0,24.9,0.58,2.3293,0.0992,20663391,528429305.0,7.201846834e+11,5.305835444e+11
2017-04-25,601628,zgrs,24.9,25.01,24.45,24.48,24.55,0.35,1.4257,0.0558,11628267,288898546.0,7.037911545e+11,5.18505897e+11
2017-04-24,601628,zgrs,24.55,24.75,23.93,24.08,24.13,0.42,1.7406,0.0645,13429236,328630952.0,6.9389850775e+11,5.112176615e+11
2017-04-21,601628,zgrs,24.13,24.21,23.61,23.78,23.81,0.32,1.344,0.0333,6934608,166697147.0,6.8202733165e+11,5.024717789e+11
2017-04-20,601628,zgrs,23.81,23.91,23.5,23.86,23.83,-0.02,-0.0839,0.0386,8040944,190506100.0,6.7298262605e+11,4.958082493e+11
2017-04-19,601628,zgrs,23.83,24.15,23.75,24.0,24.05,-0.22,-0.9148,0.0251,5217876,124837821.0,6.7354792015e+11,4.962247199e+11
2017-04-18,601628,zgrs,24.05,24.59,24.0,24.59,24.62,-0.57,-2.3152,0.0338,7047347,170657520.0,6.7976615525e+11,5.008058965e+11
2017-04-17,601628,zgrs,24.62,24.64,24.31,24.48,24.51,0.11,0.4488,0.0245,5111936,125202260.0,6.958770371e+11,5.126753086e+11
2017-04-14,601628,zgrs,24.51,24.97,24.4,24.95,24.97,-0.46,-1.8422,0.0287,5978501,147419210.0,6.9276791955e+11,5.103847203e+11
2017-04-13,601628,zgrs,24.97,25.09,24.84,24.88,24.86,0.11,0.4425,0.0229,4759401,118851288.0,7.0576968385e+11,5.199635441e+11
2017-04-12,601628,zgrs,24.86,25.07,24.63,24.68,24.79,0.07,0.2824,0.0439,9133679,227682769.0,7.026605663e+11,5.176729558e+11
2017-04-11,601628,zgrs,24.79,25.0,24.4,24.88,24.9,-0.11,-0.4418,0.0412,8589387,211461909.0,7.0068203695e+11,5.162153087e+11
2017-04-10,601628,zgrs,24.9,25.34,24.8,24.86,25.05,-0.15,-0.5988,0.0442,9199890,230584372.0,7.037911545e+11,5.18505897e+11
2017-04-07,601628,zgrs,25.05,25.14,24.92,25.03,25.06,-0.01,-0.0399,0.0294,6129196,153317187.0,7.0803086025e+11,5.216294265e+11
2017-04-06,601628,zgrs,25.06,25.21,24.91,25.21,25.26,-0.2,-0.7918,0.0333,6926233,173555500.0,7.083135073e+11,5.218376618e+11
2017-04-05,601628,zgrs,25.26,25.29,24.78,25.28,25.3,-0.04,-0.1581,0.0504,10490700,262778442.0,7.139664483e+11,5.260023678e+11
2017-03-31,601628,zgrs,25.3,25.36,24.7,24.88,24.8,0.5,2.0161,0.0418,8713777,219187907.0,7.150970365e+11,5.26835309e+11
2017-03-30,601628,zgrs,24.8,25.14,24.65,24.9,24.87,-0.07,-0.2815,0.0406,8455616,210666782.0,7.00964684e+11,5.16423544e+11
2017-03-29,601628,zgrs,24.87,25.2,24.82,25.1,25.06,-0.19,-0.7582,0.0309,6432769,160721477.0,7.0294321335e+11,5.178811911e+11
2017-03-28,601628,zgrs,25.06,25.25,24.97,25.09,25.09,-0.03,-0.1196,0.0226,4716163,118386957.0,7.083135073e+11,5.218376618e+11
2017-03-27,601628,zgrs,25.09,25.32,24.61,24.88,24.9,0.19,0.7631,0.0481,10006679,251233362.0,7.0916144845e+11,5.224623677e+11
2017-03-24,601628,zgrs,24.9,24.91,24.45,24.58,24.57,0.33,1.3431,0.0407,8483777,209695077.0,7.037911545e+11,5.18505897e+11
2017-03-23,601628,zgrs,24.57,24.92,24.43,24.43,24.43,0.14,0.5731,0.0563,11730709,289584046.0,6.9446380185e+11,5.116341321e+11
2017-03-22,601628,zgrs,24.43,25.08,24.26,25.06,25.17,-0.74,-2.94,0.0759,15809809,388349961.0,6.9050674315e+11,5.087188379e+11
2017-03-21,601628,zgrs,25.17,25.66,24.95,25.45,25.48,-0.31,-1.2166,0.0601,12515721,316183646.0,7.1142262485e+11,5.241282501e+11
2017-03-20,601628,zgrs,25.48,25.7,25.25,25.6,25.57,-0.09,-0.352,0.0313,6512284,165607112.0,7.201846834e+11,5.305835444e+11
2017-03-17,601628,zgrs,25.57,25.68,25.46,25.58,25.57,0.0,0.0,0.0515,10721699,274114775.0,7.2272850685e+11,5.324576621e+11
2017-03-16,601628,zgrs,25.57,25.6,25.06,25.09,24.96,0.61,2.4439,0.0626,13042142,331993098.0,7.2272850685e+11,5.324576621e+11
2017-03-15,601628,zgrs,24.96,25.22,24.87,25.06,25.15,-0.19,-0.7555,0.0267,5562789,139316937.0,7.054870368e+11,5.197553088e+11
2017-03-14,601628,zgrs,25.15,25.22,25.01,25.01,25.14,0.01,0.0398,0.0334,6949758,174536976.0,7.1085733075e+11,5.237117795e+11
2017-03-13,601628,zgrs,25.14,25.15,24.87,24.87,24.9,0.24,0.9639,0.0408,8488948,212384528.0,7.105746837e+11,5.235035442e+11
2017-03-10,601628,zgrs,24.9,25.27,24.79,25.26,25.28,-0.38,-1.5032,0.0555,11563071,288416958.0,7.037911545e+11,5.18505897e+11
2017-03-09,601628,zgrs,25.28,25.67,25.16,25.67,25.71,-0.43,-1.6725,0.0428,8906887,226120156.0,7.145317424e+11,5.264188384e+11
2017-03-08,601628,zgrs,25.71,25.82,25.58,25.72,25.72,-0.01,-0.0389,0.045,9362524,240779976.0,7.2668556555e+11,5.353729563e+11
2017-03-07,601628,zgrs,25.72,25.78,25.18,25.31,25.28,0.44,1.7405,0.0655,13644153,348317040.0,7.269682126e+11,5.355811916e+11
2017-03-06,601628,zgrs,25.28,25.36,25.11,25.29,25.29,-0.01,-0.0395,0.0282,5870282,148114563.0,7.145317424e+11,5.264188384e+11
2017-03-03,601628,zgrs,25.29,25.37,25.08,25.14,25.27,0.02,0.0791,0.0361,7515531,189486840.0,7.1481438945e+11,5.266270737e+11
2017-03-02,601628,zgrs,25.27,25.81,25.25,25.54,25.55,-0.28,-1.0959,0.0617,12853383,328664408.0,7.1424909535e+11,5.262106031e+11
2017-03-01,601628,zgrs,25.55,25.8,25.5,25.65,25.67,-0.12,-0.4675,0.0406,8457482,216656662.0,7.2216321275e+11,5.320411915e+11
2017-02-28,601628,zgrs,25.67,25.76,25.5,25.56,25.59,0.08,0.3126,0.0348,7244630,185698422.0,7.2555497735e+11,5.345400151e+11
2017-02-27,601628,zgrs,25.59,25.97,25.56,25.97,26.12,-0.53,-2.0291,0.0597,12433641,319986945.0,7.2329380095e+11,5.328741327e+11
2017-02-24,601628,zgrs,26.12,26.48,25.97,26.38,26.38,-0.26,-0.9856,0.0485,10089317,263402461.0,7.382740946e+11,5.439106036e+11
2017-02-23,601628,zgrs,26.38,26.83,26.17,26.64,26.64,-0.26,-0.976,0.0488,10155211,268250105.0,7.456229179e+11,5.493247214e+11
2017-02-22,601628,zgrs,26.64,26.8,26.52,26.6,26.69,-0.05,-0.1873,0.0377,7849432,209192252.0,7.529717412e+11,5.547388392e+11
2017-02-21,601628,zgrs,26.69,27.07,26.34,26.47,26.47,0.22,0.8311,0.0798,16608550,444326666.0,7.5438497645e+11,5.557800157e+11
2017-02-20,601628,zgrs,26.47,26.73,26.25,26.41,26.57,-0.1,-0.3764,0.0909,18919655,499688878.0,7.4816674135e+11,5.511988391e+11
2017-02-17,601628,zgrs,26.57,27.28,26.41,26.45,26.49,0.08,0.302,0.0653,13589459,364631047.0,7.5099321185e+11,5.532811921e+11
2017-02-16,601628,zgrs,26.49,26.7,26.29,26.55,26.58,-0.09,-0.3386,0.0399,8302203,219137606.0,7.4873203545e+11,5.516153097e+11
2017-02-15,601628,zgrs,26.58,26.85,26.36,26.5,26.57,0.01,0.0376,0.0579,12052148,320613819.0,7.512758589e+11,5.534894274e+11
2017-02-14,601628,zgrs,26.57,26.91,26.38,26.86,26.86,-0.29,-1.0797,0.0721,15007962,398087421.0,7.5099321185e+11,5.532811921e+11
2017-02-13,601628,zgrs,26.86,27.3,26.37,26.37,26.4,0.46,1.7424,0.0879,18298396,493872664.0,7.591899763e+11,5.593200158e+11
2017-02-10,601628,zgrs,26.4,26.75,26.32,26.39,26.5,-0.1,-0.3774,0.0524,10901548,288472889.0,7.46188212e+11,5.49741192e+11
2017-02-09,601628,zgrs,26.5,26.93,26.26,26.36,26.44,0.06,0.2269,0.0768,15992611,426101839.0,7.490146825e+11,5.51823545e+11
2017-02-08,601628,zgrs,26.44,26.62,26.09,26.21,26.24,0.2,0.7622,0.0789,16437999,434789561.0,7.473188002e+11,5.505741332e+11
2017-02-07,601628,zgrs,26.24,26.46,25.82,26.0,26.0,0.24,0.9231,0.0939,19555741,511393386.0,7.416658592e+11,5.464094272e+11
2017-02-06,601628,zgrs,26.0,26.05,25.16,25.16,25.15,0.85,3.3797,0.1044,21742154,559474246.0,7.3488233e+11,5.4141178e+11
2017-02-03,601628,zgrs,25.15,25.75,25.02,25.67,25.72,-0.57,-2.2162,0.0482,10033770,253187522.0,7.1085733075e+11,5.237117795e+11
2017-01-26,601628,zgrs,25.72,26.07,25.56,25.62,25.81,-0.09,-0.3487,0.051,10615344,274365513.0,7.269682126e+11,5.355811916e+11
2017-01-25,601628,zgrs,25.81,25.97,25.64,25.9,25.99,-0.18,-0.6926,0.0365,7594950,195542617.0,7.2951203605e+11,5.374553093e+11
2017-01-24,601628,zgrs,25.99,26.15,25.55,25.61,25.76,0.23,0.8929,0.0529,11010251,285072026.0,7.3459968295e+11,5.412035447e+11
2017-01-23,601628,zgrs,25.76,25.78,25.26,25.5,25.5,0.26,1.0196,0.0566,11777699,300557740.0,7.280988008e+11,5.364141328e+11
2017-01-20,601628,zgrs,25.5,25.8,25.47,25.59,25.61,-0.11,-0.4295,0.0504,10487278,268438848.0,7.207499775e+11,5.31000015e+11
